Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
2/6/1900,2/6/2020,19,23,8,2/6/2019,31,24,9,2/6/2018,14,30,5,2/6/2017,31,31,3,2/7/2016,39,29,4,28.75,28.5,5.25,8.661550979,10.32087457,13.5639284,2.557028878,3.046887836,4.004289382,2.162946036,2.577309167,3.387158402
2/7/1900,2/7/2020,30,26,5,2/7/2019,19,19,12,2/7/2018,36,18,23,2/7/2017,14,29,6,2/8/2016,21,26,5,22.5,23,11.5,7.787763849,9.279692985,12.19558385,4.403376896,5.246947196,6.895657496,6.798507239,8.100921029,10.6464149
2/8/1900,2/8/2020,15,27,9,2/8/2019,60,29,6,2/8/2018,55,30,6,2/8/2017,24,28,6,2/9/2016,18,26,6,39.25,28.25,6,17.52849904,20.88649485,27.4495072,1.404561178,1.673637871,2.199533005,0,0,0
2/9/1900,2/9/2020,21,25,24,2/9/2019,27,29,3,2/9/2018,29,31,5,2/9/2017,19,24,5,2/10/2016,19,28,7,23.5,28,5,4.325892073,5.154618335,6.774316804,2.421158982,2.88498887,3.791518074,1.343017363,1.600303892,2.103155819
2/10/1900,2/10/2020,46,18,23,2/10/2019,7,30,7,2/10/2018,48,27,9,2/10/2017,24,29,3,2/11/2016,33,27,3,28,28.25,5.5,14.10168231,16.80319087,22.0831361,1.23364022,1.469972988,1.931871978,2.46728044,2.939945977,3.863743955
2/11/1900,2/11/2020,63,25,20,2/11/2019,15,28,17,2/11/2018,72,27,7,2/11/2017,19,26,8,2/12/2016,11,31,3,29.25,28,8.75,23.59256663,28.11227707,36.94579474,1.776644974,2.11700306,2.782213633,4.85974688,5.790745573,7.610329707
2/12/1900,2/12/2020,58,31,3,2/12/2019,32,28,8,2/12/2018,50,29,6,2/12/2017,37,21,10,2/13/2016,15,27,2,33.5,26.25,6.5,11.90863424,14.19001291,18.64883813,2.955782593,3.522032194,4.628734918,2.809122355,3.347275742,4.399066009
2/13/1900,2/13/2020,29,26,9,2/13/2019,18,31,4,2/13/2018,21,29,10,2/13/2017,48,26,7,2/14/2016,17,22,2,26,27,5.75,12.14298638,14.46926072,19.01583195,3.220442502,3.837393926,5.043190489,2.878493847,3.429936973,4.507701281
2/14/1900,2/14/2020,36,25,5,2/14/2019,24,30,10,2/14/2018,31,33,14,2/14/2017,35,26,11,2/15/2016,20,26,9,27.5,28.75,11,5.557723254,6.62243572,8.703355839,2.799071796,3.335299762,4.383326903,1.776644974,2.11700306,2.782213633
2/15/1900,2/15/2020,19,31,3,2/15/2019,16,31,6,2/15/2018,56,24,13,2/15/2017,38,23,11,2/16/2016,28,21,11,34.5,24.75,10.25,13.91660228,16.58265441,21.79330207,3.577005161,4.26226454,5.601565124,2.455831281,2.926303462,3.845814652
