,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
38,2/8/1900,2/8/2020,35,47,2/8/2019,35,43,2/8/2018,39,53,2/8/2017,32,63,2/8/2016,39,42,36.25,2.799071796,3.335299762,4.383326903,50.25,8.096484624,9.647556479,12.67903843,8-Feb, 
39,2/9/1900,2/9/2020,37,54,2/9/2019,37,35,2/9/2018,35,75,2/9/2017,38,34,2/9/2016,34,67,36,1.501539059,1.789194144,2.35139969,52.75,17.54135691,20.90181596,27.46964254,9-Feb, 
40,2/10/1900,2/10/2020,35,45,2/10/2019,35,30,2/10/2018,35,84,2/10/2017,38,38,2/10/2016,33,63,35.25,1.695476311,2.020284633,2.655104073,53.75,20.21648234,24.08942451,31.65887029,10-Feb, 
41,2/11/1900,2/11/2020,32,53,2/11/2019,35,58,2/11/2018,23,59,2/11/2017,34,62,2/11/2016,37,38,32.25,5.174321897,6.165584826,8.10295199,54.25,9.018614089,10.74634151,14.12308674,11-Feb, 
42,2/12/1900,2/12/2020,36,45,2/12/2019,40,42,2/12/2018,41,42,2/12/2017,31,57,2/12/2016,37,50,37.25,3.700920661,4.409918965,5.795615933,47.75,5.944843259,7.083717657,9.309583065,12-Feb, 
43,2/13/1900,2/13/2020,32,46,2/13/2019,38,42,2/13/2018,38,54,2/13/2017,35,58,2/13/2016,37,54,37,1.163087154,1.385903824,1.821386368,52,5.697940106,6.789514404,8.922934451,13-Feb, 
44,2/14/1900,2/14/2020,34,34,2/14/2019,44,50,2/14/2018,31,60,2/14/2017,39,78,2/14/2016,31,53,36.25,5.260746612,6.268566225,8.23829249,60.25,10.32410476,12.30192958,16.16747601,14-Feb, 
45,2/15/1900,2/15/2020,33,52,2/15/2019,43,63,2/15/2018,16,84,2/15/2017,39,62,2/15/2016,38,69,34,10.02776305,11.94881666,15.70340697,69.5,8.34672055,9.945730975,13.07090615,15-Feb,15-Feb
46,2/16/1900,2/16/2020,32,52,2/16/2019,38,39,2/16/2018,37,52,2/16/2017,34,41,2/16/2016,41,57,37.5,2.374141711,2.828964335,3.717889354,47.25,7.11846713,8.482176755,11.14746986,16-Feb, 
47,2/17/1900,2/17/2020,38,56,2/17/2019,40,30,2/17/2018,37,51,2/17/2017,42,66,2/17/2016,31,45,37.5,3.944220438,4.699828531,6.176621686,48,12.25388354,14.60140283,19.18949612,17-Feb, 
48,2/18/1900,2/18/2020,35,53,2/18/2019,41,41,2/18/2018,40,48,2/18/2017,51,82,2/18/2016,36,39,42,5.24465046,6.249386477,8.213086028,52.5,16.48276843,19.64042998,25.81190036,18-Feb, 
49,2/19/1900,2/19/2020,39,35,2/19/2019,42,40,2/19/2018,37,60,2/19/2017,47,60,2/19/2016,36,44,40.5,4.166601792,4.964812259,6.524869336,51,8.651784145,10.30923667,13.54863361,19-Feb, 
50,2/20/1900,2/20/2020,38,28,2/20/2019,38,57,2/20/2018,24,63,2/20/2017,44,55,2/20/2016,40,59,36.5,7.154010321,8.524529079,11.20313025,58.5,2.809122355,3.347275742,4.399066009,20-Feb, 
51,2/21/1900,2/21/2020,39,41,2/21/2019,42,44,2/21/2018,32,52,2/21/2017,44,75,2/21/2016,35,53,38.25,4.670486495,5.565227915,7.313949265,56,10.93136935,13.02552998,17.11844813,21-Feb, 
