date, pm25, o3, no2, co
2018/7/17, 58, 38, 8, 2
2018/7/18, 42, 28, 8, 2
2018/7/19, 25, 44, 9, 1
2018/7/20, 20, 41, 8, 2
2018/7/21, 28, 31, 5, 1
2018/7/22, 15, 27, 2, 1
2018/7/23, 24, 22, 3, 1
2018/7/24, 26, 18, 2, 1
2018/7/25, 19, 22, 3, 1
2018/7/26, 17, 43, 8, 2
2018/7/27, 25, 40, 15, 3
2018/7/28, 47, 61, 13, 3
2018/7/29, 44, 40, 6, 2
2018/7/30, 29, 35, 11, 3
2018/7/31, 34, 39, 11, 2
2018/8/1, 32, 29, 4, 1
2018/8/2, 31, 30, 6, 1
2018/8/3, 29, 22, 5, 1
2018/8/4, 25, 34, 5, 1
2018/8/5, 19, 60, 11, 3
2018/8/6, 43, 65, 13, 3
2018/8/7, 64, 42, 9, 2
2018/8/8, 54, 62, 13, 3
2018/8/9, 48, 43, 9, 2
2018/8/10, 41, 57, 13, 3
2018/8/11, 53, 36, 9, 2
2018/8/12, 36, 39, 3, 2
2018/8/13, 33, 26, 5, 2
2018/8/14, 19, 44, 13, 3
2018/8/15, 32, 39, 8, 2
2018/8/16, 47, 54, 13, 3
2018/8/17, 70, 47, 11, 3
2018/8/18, 69, 26, 12, 3
2018/8/19, 46, 20, , 
2018/8/20, 16, 22, , 
2018/8/21, 13, 27, 6, 2
2018/8/22, 22, 37, 6, 2
2018/8/23, 22, 26, 8, 2
2018/8/24, 28, 40, 15, 3
2018/8/25, 39, 39, 8, 2
2018/8/26, 27, 41, 7, 2
2018/8/27, 32, 55, 15, 4
2018/8/28, 62, 59, 14, 5
2018/8/29, 76, 47, 13, 3
2018/8/30, 61, 41, 8, 2
2018/8/31, 35, 23, 6, 2
2018/9/1, 15, 31, 3, 2
2018/9/2, 17, 31, 7, 3
2018/9/3, 32, 38, 7, 2
2018/9/4, 40, 51, 13, 2
2018/9/5, 31, 44, 9, 2
2018/9/6, 43, 48, 7, 2
2018/9/7, 47, 20, 7, 2
2018/9/8, 26, 22, 5, 2
2018/9/9, 23, 15, 4, 1
2018/9/10, 11, 21, 4, 1
2018/9/11, 8, 15, 12, 3
2018/9/12, 29, 12, 10, 3
2018/9/13, 28, 19, 6, 2
2018/9/14, 8, 22, 5, 2
2018/9/15, 12, 31, 11, 2
2018/9/16, 18, 35, 14, 3
2018/9/17, 19, 22, 11, 2
2018/9/18, 18, 20, 8, 2
2018/9/19, 11, 31, 9, 2
2018/9/20, 22, 21, 6, 1
2018/9/21, 7, 23, 5, 1
2018/9/22, 8, 22, 5, 1
2018/9/23, 13, 18, 5, 2
2018/9/24, 9, 21, 6, 2
2018/9/25, 14, 23, , 1
2018/9/26, 11, 22, 6, 2
2018/9/27, 15, 28, 4, 1
2018/9/28, 11, 20, 9, 2
2018/9/29, 10, 29, 13, 3
2018/9/30, 23, 31, 8, 2
2018/10/1, 14, 36, 12, 2
2018/4/2, 15, 34, 14, 2
2018/4/3, 20, 31, 19, 2
2018/4/4, 28, 33, 14, 2
2018/4/5, 22, 34, 7, 2
2018/4/6, 9, 36, 17, 2
2018/4/7, 27, 36, 6, 2
2018/4/8, 10, 34, 5, 2
