Week,Date,Bronx,Queens,Rockland,Westchester,Average
39,9/20/2018 - 9/26/2018,16.71428571,23.71428571,9.142857143,6.714285714,14.07142857
40,9/27/2018 - 10/3/2018,22,31,13,14.42857143,20.10714286
41,10/4/2018 - 10/10/2018,30.14285714,30.71428571,15.14285714,17,23.25
42,10/11/2018 - 10/17/2018,18.14285714,19.71428571,11.85714286,10.71428571,15.10714286
43,10/18/2018 - 10/24/2018,17.42857143,22,13.71428571,13.85714286,16.75
44,10/25/2018 - 10/31/2018,19.28571429,26.28571429,13,13.71428571,18.07142857
45,11/1/2018 - 11/7/2018,25.71428571,32.42857143,18.14285714,22.33333333,24.6547619
46,11/8/2018 - 11/14/2018,22,30.14285714,18.28571429,17.85714286,22.07142857
47,11/15/2018 - 11/21/2018,37.85714286,33.14285714,20.85714286,23.14285714,28.75
48,11/22/2018 - 11/28/2018,25.14285714,24.42857143,18,18.42857143,21.5
49,11/29/2018 - 12/5/2018,32.85714286,28.57142857,19.8,20.66666667,25.47380952
50,12/6/2018 - 12/12/2018,48,42.14285714,30.14285714,31.85714286,38.03571429
51,12/13/2018 - 12/19/2018,36.85714286,34.28571429,27.57142857,27,31.42857143
52,12/20/2018 - 12/26/2018,38.42857143,37.85714286,30.57142857,31.85714286,34.67857143
1,12/27/2018 - 1/2/2019,41,38,30.28571429,31.71428571,35.25
2,1/3/2019 - 1/9/2019,41.85714286,39.85714286,34.28571429,36.33333333,38.08333333
3,1/10/2019 - 1/16/2019,40.85714286,42,34,32.57142857,37.35714286
4,1/17/2019 - 1/23/2019,40,38.57142857,31.42857143,31.14285714,35.28571429
5,1/24/2019 - 1/30/2019,40.42857143,41.42857143,32.85714286,33,36.92857143
6,1/31/2019 - 2/6/2019,60.42857143,59.85714286,42.57142857,41.42857143,51.07142857
7,2/7/2019 - 2/13/2019,30.42857143,30.57142857,19.28571429,20.14285714,25.10714286
8,2/14/2019 - 2/20/2019,33,32.14285714,27.6,24.14285714,29.22142857
9,2/21/2019 - 2/27/2019,37,31.85714286,21.42857143,22.57142857,28.21428571
10,2/28/2019 - 3/6/2019,40.14285714,40.57142857,25.83333333,25.71428571,33.06547619
11,3/7/2019 - 3/13/2019,51,45.57142857,27.57142857,28.42857143,38.14285714
12,3/14/2019 - 3/20/2019,41.14285714,30.14285714,20.71428571,21,28.25
13,3/21/2019 - 3/27/2019,23.14285714,23.14285714,13.71428571,14.42857143,18.60714286
14,3/28/2019 - 4/3/2019,35.42857143,30.14285714,30.83333333,24.16666667,30.14285714
15,4/4/2019 - 4/10/2019,36.42857143,32.28571429,17.28571429,16.85714286,25.71428571
16,4/11/2019 - 4/17/2019,26.42857143,27.57142857,13.71428571,14.57142857,20.57142857
17,4/18/2019 - 4/24/2019,35.71428571,31.85714286,16.42857143,17.57142857,25.39285714
18,4/25/2019 - 5/1/2019,26.57142857,21.28571429,12.66666667,10.28571429,17.70238095
19,5/2/2019 - 5/8/2019,36.85714286,33.14285714,11.42857143,9.333333333,22.69047619
20,5/9/2019 - 5/15/2019,24.57142857,21.42857143,5.714285714,5.428571429,14.28571429
21,5/16/2019 - 5/22/2019,34.85714286,33.14285714,18.57142857,18.85714286,26.35714286
22,5/23/2019 - 5/29/2019,29.28571429,28.57142857,13,11.71428571,20.64285714
23,5/30/2019 - 6/5/2019,41.28571429,36.57142857,33.4,24.83333333,34.02261905
24,6/6/2019 - 6/12/2019,28.28571429,27.71428571,9.571428571,9.285714286,18.71428571
25,6/13/2019 - 6/19/2019,33.85714286,31,12.42857143,12.85714286,22.53571429
26,6/20/2019 - 6/26/2019,31.57142857,30.14285714,14.42857143,14.28571429,22.60714286
27,6/27/2019 - 7/3/2019,39.42857143,37.71428571,17.16666667,25.14285714,29.86309524
28,7/4/2019 - 7/10/2019,55.57142857,48.85714286,40.14285714,36.14285714,45.17857143
29,7/11/2019 - 7/17/2019,42.14285714,36.42857143,23.57142857,18.85714286,30.25
30,7/18/2019 - 7/24/2019,36.71428571,37.42857143,15.14285714,15.14285714,26.10714286
31,7/25/2019 - 7/31/2019,54.28571429,51.28571429,37.85714286,34.14285714,44.39285714
32,8/1/2019 - 8/7/2019,40.14285714,35.42857143,21.5,18.16666667,28.80952381
33,8/8/2019 - 8/14/2019,37.85714286,35.71428571,15,19.14285714,26.92857143
34,8/15/2019 - 8/21/2019,43.57142857,35.85714286,24.28571429,19.57142857,30.82142857
35,8/22/2019 - 8/28/2019,25,23.57142857,9.714285714,6.428571429,16.17857143
36,8/29/2019 - 9/4/2019,28.85714286,27.85714286,18.14285714,15,22.46428571
37,9/5/2019 - 9/11/2019,26.57142857,22,15.8,10.42857143,18.7
38,9/12/2019 - 9/18/2019,28.42857143,27,9.714285714,10.14285714,18.82142857
39,9/19/2019 - 9/25/2019,37.71428571,36.57142857,20.42857143,22.42857143,29.28571429
40,9/26/2019 - 10/2/2019,32.14285714,27.28571429,20.57142857,19,24.75
