DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
2/26/1900,2/26/2020,46,9,2/26/2019,20,11,2/26/2018,28,13,2/26/2017,26,10,2/26/2016,28,18,25.5,3.113657663,3.710151943,4.875966176,13,2.927038481,3.487781472,4.58372184
2/27/1900,2/27/2020,17,7,2/27/2019,23,20,2/27/2018,16,15,2/27/2017,40,30,2/27/2016,29,18,27,8.360215661,9.961811392,13.0920394,20.75,5.345774288,6.36988295,8.371445237
2/28/1900,2/28/2020,20,5,2/28/2019,31,16,2/28/2018,28,15,2/28/2017,30,33,2/28/2016,40,18,32.25,4.371258474,5.208675736,6.845360271,20.5,6.929891508,8.257475042,10.85216175
2/29/1900,2/29/2020,30,11,3/1/2019,52,36,3/1/2018,23,13,3/1/2017,13,27,2/29/2016,20,18,27,14.13362274,16.84125024,22.1331546,23.5,8.34672055,9.945730975,13.07090615
3/1/1900,3/1/2020,33,11,3/2/2019,51,29,3/2/2018,27,7,3/2/2017,12,8,3/1/2016,17,18,26.75,14.25078438,16.98085695,22.31662891,15.5,8.454078281,10.0736556,13.2390276
3/2/1900,3/2/2020,41,9,3/3/2019,27,11,3/3/2018,19,13,3/3/2017,11,25,3/2/2016,16,10,18.25,5.511896078,6.567829272,8.631590801,14.75,5.712759221,6.807172469,8.946141081
3/3/1900,3/3/2020,54,9,3/4/2019,27,12,3/4/2018,14,10,3/4/2017,17,18,3/3/2016,25,18,20.75,5.130563633,6.113443638,8.034426852,14.5,3.390952621,4.040569265,5.310208146
3/4/1900,3/4/2020,35,7,3/5/2019,51,17,3/5/2018,14,11,3/5/2017,23,23,3/4/2016,28,25,29,12.96898678,15.4535009,20.30934281,19,5.201483879,6.197950323,8.145487463
3/5/1900,3/5/2020,18,8,3/6/2019,36,17,3/6/2018,24,25,3/6/2017,38,21,3/5/2016,35,35,33.25,5.174321897,6.165584826,8.10295199,24.5,6.352770251,7.569792649,9.948393889
3/6/1900,3/6/2020,29,14,3/7/2019,35,19,3/7/2018,32,20,3/7/2017,40,14,3/6/2016,38,30,36.25,2.878493847,3.429936973,4.507701281,20.75,5.511896078,6.567829272,8.631590801
3/7/1900,3/7/2020,15,10,3/8/2019,43,36,3/8/2018,18,20,3/8/2017,20,14,3/7/2016,56,36,34.25,15.14062225,18.04116417,23.71010881,26.5,9.243921287,11.01481159,14.47591624
3/8/1900,3/8/2020,25,13,3/9/2019,60,38,3/9/2018,31,24,3/9/2017,25,14,3/8/2016,60,39,44,15.32747065,18.26380777,24.0027121,28.75,9.854833175,11.74275801,15.43259999
3/9/1900,3/9/2020,47,10,3/10/2019,29,9,3/10/2018,20,19,3/10/2017,18,11,3/9/2016,58,25,31.25,15.18523013,18.09431773,23.77996443,16,6.080769732,7.245684041,9.522442975
3/10/1900,3/10/2020,34,6,3/11/2019,38,12,3/11/2018,22,36,3/11/2017,20,8,3/10/2016,32,21,28,6.978522922,8.315422946,10.92831821,19.25,10.21432912,12.17112385,15.99556814
3/11/1900,3/11/2020,22,25,3/12/2019,30,15,3/12/2018,31,37,3/12/2017,28,11,3/11/2016,33,24,30.5,1.712017935,2.039995193,2.681008141,21.75,9.481716847,11.29816248,14.84830243
3/12/1900,3/12/2020,39,18,3/13/2019,45,40,3/13/2018,23,29,3/13/2017,27,22,3/12/2016,30,21,31.25,7.899151594,9.41241967,12.37001628,28,7.201128352,8.580673676,11.27691676
3/13/1900,3/13/2020,25,5,3/14/2019,40,25,3/14/2018,15,22,3/14/2017,17,20,3/13/2016,23,21,23.75,9.337955392,11.12686014,14.62317299,22,1.776644974,2.11700306,2.782213633
3/14/1900,3/14/2020,20,5,3/15/2019,23,8,3/15/2018,30,34,3/15/2017,18,10,3/14/2016,16,9,21.75,5.130563633,6.113443638,8.034426852,15.25,10.30224321,12.27587994,16.13324098
3/15/1900,3/15/2020,17,14,3/16/2019,14,7,3/16/2018,29,14,3/16/2017,28,26,3/15/2016,21,20,23,5.737372688,6.836501224,8.984685599,16.75,6.694069275,7.97647552,10.48286578
3/16/1900,3/16/2020,24,25,3/17/2019,15,8,3/17/2018,24,9,3/17/2017,33,28,3/16/2016,18,21,22.5,6.52781046,7.778365923,10.22250564,16.5,7.959573432,9.484416731,12.46463646
3/17/1900,3/17/2020,41,8,3/18/2019,30,21,3/18/2018,20,24,3/18/2017,42,16,3/17/2016,21,16,28.25,8.397215388,10.00589929,13.14998071,19.25,3.246589961,3.868550545,5.084137227
