date, pm25, o3, no2, co
2019/1/17, 49, 21, , 3
2019/1/18, 34, 9, , 5
2019/1/19, 50, 16, , 3
2019/1/20, 39, 24, , 3
2019/1/21, 29, 27, , 2
2019/1/22, 33, 23, , 3
2019/1/23, 35, 14, , 4
2019/1/24, 40, 21, , 3
2019/1/25, 31, 25, , 2
2019/1/26, 37, 23, , 3
2019/1/27, 38, 25, , 4
2019/1/28, 42, 24, , 3
2019/1/29, 40, 15, , 7
2019/1/30, 48, 26, , 2
2019/1/31, 41, 21, , 3
2019/2/1, 36, 18, , 3
2019/2/2, 39, 16, , 4
2019/2/3, 53, 18, , 5
2019/2/4, 65, 12, , 6
2019/2/5, 62, 9, , 6
2019/2/6, 63, 12, 52, 3
2019/2/7, 50, 13, 97, 3
2019/2/8, 31, 25, , 3
2019/2/9, 21, 86, 53, 2
2019/2/10, 34, 142, 18, 2
2019/2/11, 49, 15, , 3
2019/2/12, 49, 83, 53, 2
2019/2/13, 37, 22, , 2
2019/2/14, 84, 28, , 3
2019/2/15, 31, 19, 175, 6
2019/2/16, 45, 27, 23, 2
2019/2/17, 39, 83, 44, 2
2019/2/18, 35, 28, 5, 3
2019/2/19, 84, 205, 63, 2
2019/2/20, 43, 82, 132, 3
2019/2/21, 18, 145, , 4
2019/2/22, 82, 31, , 2
2019/2/23, 28, 82, , 3
2019/2/24, 65, 265, 42, 2
2019/2/25, 66, 32, 120, 2
2019/2/26, 21, 29, 101, 2
2019/2/27, 41, 23, 5, 3
2019/2/28, 73, 84, 45, 2
2019/3/1, 41, 83, 35, 3
2019/3/2, 49, 84, 75, 3
2019/3/3, 42, 30, , 4
2019/3/4, 28, 34, 30, 3
2019/3/5, 38, 86, 64, 2
2019/3/6, 39, 89, 124, 2
2019/3/7, 21, 26, 45, 3
2019/3/8, 43, 23, , 4
2019/3/9, 34, 28, , 4
2019/3/10, 43, 31, 4, 3
2019/3/11, 17, 93, 94, 2
2019/3/12, 25, 91, 74, 2
2019/3/13, 44, 21, 6, 5
2019/3/14, 60, 91, 133, 3
2019/3/15, 86, 28, 141, 4
2019/3/16, 53, 33, 121, 2
2019/3/17, 14, 32, 109, 2
2019/3/18, 99, 31, 91, 3
2019/3/19, 48, 31, 35, 3
2019/3/20, 40, 34, 5, 4
2019/3/21, 56, 30, 2, 3
2019/3/22, 46, 33, 48, 2
2019/3/23, 67, 33, 112, 2
2019/3/24, 23, 95, 130, 2
2019/3/25, 17, 91, 102, 3
2019/3/26, 57, 32, 113, 2
2019/3/27, 47, 30, 65, 2
2019/3/28, 11, 29, 42, 2
2019/3/29, 70, 17, , 5
2019/3/30, 39, 37, 6, 5
2019/3/31, 43, 89, 120, 3
2019/4/1, 28, 31, 76, 2
2018/10/2, 48, 9, , 2
