Week,Date,Rockland,Bronx,Queens,Brooklyn,Average
28,7/4/2019 - 7/10/2019,40.14285714,55.57142857,48.85714286,41.28571429,46.46428571
29,7/11/2019 - 7/17/2019,23.57142857,42.14285714,36.42857143,31,33.28571429
30,7/18/2019 - 7/24/2019,15.14285714,36.71428571,37.42857143,32.42857143,30.42857143
31,7/25/2019 - 7/31/2019,37.85714286,54.28571429,51.28571429,43.57142857,46.75
32,8/1/2019 - 8/7/2019,21.5,40.14285714,35.42857143,31.14285714,32.05357143
33,8/8/2019 - 8/14/2019,15,37.85714286,35.71428571,31.42857143,30
34,8/15/2019 - 8/21/2019,24.28571429,43.57142857,35.85714286,29.14285714,33.21428571
35,8/22/2019 - 8/28/2019,9.714285714,25,23.57142857,19.14285714,19.35714286
36,8/29/2019 - 9/4/2019,18.14285714,28.85714286,27.85714286,22.71428571,24.39285714
37,9/5/2019 - 9/11/2019,15.8,26.57142857,22,18.28571429,20.66428571
38,9/12/2019 - 9/18/2019,9.714285714,28.42857143,27,22.42857143,21.89285714
39,9/19/2019 - 9/25/2019,20.42857143,37.71428571,36.57142857,31.42857143,31.53571429
40,9/26/2019 - 10/2/2019,20.57142857,32.14285714,27.28571429,26.14285714,26.53571429
41,10/3/2019 - 10/9/2019,9.6,19.14285714,16.28571429,17.85714286,15.72142857
42,10/10/2019 - 10/16/2019,13.5,21.85714286,19.28571429,19.28571429,18.48214286
43,10/17/2019 - 10/23/2019,16.28571429,25.42857143,21.85714286,20.28571429,20.96428571
44,10/24/2019 - 10/30/2019,18.14285714,27,25.57142857,24,23.67857143
45,10/31/2019 - 11/6/2019,18.83333333,30.14285714,24.14285714,22.71428571,23.95833333
46,11/7/2019 - 11/13/2019,24,34.71428571,28.28571429,27.71428571,28.67857143
47,11/14/2019 - 11/20/2019,17.71428571,31.28571429,27.57142857,27.28571429,25.96428571
48,11/21/2019 - 11/27/2019,31.14285714,45.85714286,39.14285714,34.71428571,37.71428571
49,11/28/2019 - 12/4/2019,15.14285714,23.85714286,23.57142857,19.57142857,20.53571429
50,12/5/2019 - 12/11/2019,22.85714286,30.42857143,30.57142857,27.28571429,27.78571429
51,12/12/2019 - 12/18/2019,22.57142857,31.57142857,34.71428571,34.85714286,30.92857143
52,12/19/2019 - 12/25/2019,39,53.28571429,54.14285714,52.71428571,49.78571429
1,12/26/2019 - 1/1/2020,34,46.5,44.33333333,42.16666667,41.75
