"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"10/03/2015","","PINNACLE STATE PARK","36-101-0003","7"
"10/04/2015","","PINNACLE STATE PARK","36-101-0003","8"
"10/05/2015","","PINNACLE STATE PARK","36-101-0003","9"
"10/06/2015","","PINNACLE STATE PARK","36-101-0003","16"
"10/07/2015","","PINNACLE STATE PARK","36-101-0003","20"
"10/08/2015","","PINNACLE STATE PARK","36-101-0003","19"
"10/09/2015","","PINNACLE STATE PARK","36-101-0003","29"
"10/10/2015","","PINNACLE STATE PARK","36-101-0003","7"
"10/11/2015","","PINNACLE STATE PARK","36-101-0003","15"
"10/12/2015","","PINNACLE STATE PARK","36-101-0003","24"
"10/13/2015","","PINNACLE STATE PARK","36-101-0003","12"
"10/14/2015","","PINNACLE STATE PARK","36-101-0003","6"
"10/15/2015","","PINNACLE STATE PARK","36-101-0003","11"
"10/16/2015","","PINNACLE STATE PARK","36-101-0003","8"
"10/17/2015","","PINNACLE STATE PARK","36-101-0003","7"
"10/18/2015","","PINNACLE STATE PARK","36-101-0003","11"
"10/19/2015","","PINNACLE STATE PARK","36-101-0003","13"
"10/20/2015","","PINNACLE STATE PARK","36-101-0003","23"
"10/21/2015","","PINNACLE STATE PARK","36-101-0003","30"
"10/22/2015","","PINNACLE STATE PARK","36-101-0003","33"
"10/23/2015","","PINNACLE STATE PARK","36-101-0003","5"
"10/24/2015","","PINNACLE STATE PARK","36-101-0003","20"
"10/25/2015","","PINNACLE STATE PARK","36-101-0003","7"
"10/26/2015","","PINNACLE STATE PARK","36-101-0003","8"
"10/27/2015","","PINNACLE STATE PARK","36-101-0003","13"
"10/28/2015","","PINNACLE STATE PARK","36-101-0003","4"
"10/29/2015","","PINNACLE STATE PARK","36-101-0003","9"
"10/30/2015","","PINNACLE STATE PARK","36-101-0003","8"
"10/31/2015","","PINNACLE STATE PARK","36-101-0003","13"
"11/01/2015","","PINNACLE STATE PARK","36-101-0003","8"
"11/02/2015","","PINNACLE STATE PARK","36-101-0003","13"
"11/03/2015","","PINNACLE STATE PARK","36-101-0003","5"
"11/04/2015","","PINNACLE STATE PARK","36-101-0003","10"
"11/05/2015","","PINNACLE STATE PARK","36-101-0003","24"
"11/06/2015","","PINNACLE STATE PARK","36-101-0003","22"
"11/07/2015","","PINNACLE STATE PARK","36-101-0003","12"
"11/08/2015","","PINNACLE STATE PARK","36-101-0003","8"
"11/09/2015","","PINNACLE STATE PARK","36-101-0003","14"
"11/10/2015","","PINNACLE STATE PARK","36-101-0003","20"
"11/11/2015","","PINNACLE STATE PARK","36-101-0003","9"
